State,River,Length,Year,Class
Perlis,Sungai Perlis,9.5,2004,III
Kedah,Sungai Petani,12,2004,III
Pulau Pinang,Sungai Pinang,3.1,2004,IV
Perak,Sungai Kinta,20,2004,III
Selangor,Sungai Penchala,12,2004,IV
Kuala Lumpur,Sungai Penchala,12,2004,IV
Negeri Sembilan,Sungai Temiang,9,2004,II
Melaka,Sungai Melaka,39,2004,III
Johor,Sungai Skudai,52.8,2004,III
Pahang,Sungai Galing,7,2004,IV
Terengganu,Sungai Hiliran,5.5,2004,IV
Kelantan,Sungai Pengkelan Chepa,10,2004,II
Sabah,Sungai Papar,45,2004,II
Sarawak,Sungai Miri,60,2004,III
Sarawak,Sungai Bintangor,0.63,2004,-
Perlis,Sungai Perlis,9.5,2005,III
Kedah,Sungai Petani,12,2005,IV
Pulau Pinang,Sungai Pinang,3.1,2005,IV
Perak,Sungai Kinta,20,2005,III
Selangor,Sungai Penchala,12,2005,IV
Kuala Lumpur,Sungai Penchala,12,2005,IV
Negeri Sembilan,Sungai Temiang,9,2005,III
Melaka,Sungai Melaka,39,2005,III
Johor,Sungai Skudai,52.8,2005,III
Pahang,Sungai Galing,7,2005,IV
Terengganu,Sungai Hiliran,5.5,2005,IV
Kelantan,Sungai Pengkelan Chepa,10,2005,III
Sabah,Sungai Papar,45,2005,II
Sarawak,Sungai Miri,60,2005,III
Sarawak,Sungai Bintangor,0.63,2005,-
Perlis,Sungai Perlis,9.5,2006,III
Kedah,Sungai Petani,12,2006,IV
Pulau Pinang,Sungai Pinang,3.1,2006,IV
Perak,Sungai Kinta,20,2006,III
Selangor,Sungai Penchala,12,2006,IV
Kuala Lumpur,Sungai Penchala,12,2006,IV
Negeri Sembilan,Sungai Temiang,9,2006,III
Melaka,Sungai Melaka,39,2006,III
Johor,Sungai Skudai,52.8,2006,III
Pahang,Sungai Galing,7,2006,III
Terengganu,Sungai Hiliran,5.5,2006,IV
Kelantan,Sungai Pengkelan Chepa,10,2006,III
Sabah,Sungai Papar,45,2006,II
Sarawak,Sungai Miri,60,2006,III
Sarawak,Sungai Bintangor,0.63,2006,-
Perlis,Sungai Perlis,9.5,2007,III
Kedah,Sungai Petani,12,2007,III
Pulau Pinang,Sungai Pinang,3.1,2007,IV
Perak,Sungai Kinta,20,2007,III
Selangor,Sungai Penchala,12,2007,IV
Kuala Lumpur,Sungai Penchala,12,2007,IV
Negeri Sembilan,Sungai Temiang,9,2007,II
Melaka,Sungai Melaka,39,2007,III
Johor,Sungai Skudai,52.8,2007,III
Pahang,Sungai Galing,7,2007,III
Terengganu,Sungai Hiliran,5.5,2007,IV
Kelantan,Sungai Pengkelan Chepa,10,2007,II
Sabah,Sungai Papar,45,2007,II
Sarawak,Sungai Miri,60,2007,III
Sarawak,Sungai Bintangor,0.63,2007,-
Perlis,Sungai Perlis,9.5,2008,III
Kedah,Sungai Petani,12,2008,III
Pulau Pinang,Sungai Pinang,3.1,2008,III
Perak,Sungai Kinta,20,2008,II
Selangor,Sungai Penchala,12,2008,IV
Kuala Lumpur,Sungai Penchala,12,2008,IV
Negeri Sembilan,Sungai Temiang,9,2008,III
Melaka,Sungai Melaka,39,2008,III
Johor,Sungai Skudai,52.8,2008,III
Pahang,Sungai Galing,7,2008,IV
Terengganu,Sungai Hiliran,5.5,2008,IV
Kelantan,Sungai Pengkelan Chepa,10,2008,II
Sabah,Sungai Papar,45,2008,II
Sarawak,Sungai Miri,60,2008,III
Sarawak,Sungai Bintangor,0.63,2008,-
Perlis,Sungai Perlis,9.5,2009,III
Kedah,Sungai Petani,12,2009,III
Pulau Pinang,Sungai Pinang,3.1,2009,III
Perak,Sungai Kinta,20,2009,III
Selangor,Sungai Penchala,12,2009,IV
Kuala Lumpur,Sungai Penchala,12,2009,IV
Negeri Sembilan,Sungai Temiang,9,2009,III
Melaka,Sungai Melaka,39,2009,III
Johor,Sungai Skudai,52.8,2009,III
Pahang,Sungai Galing,7,2009,III
Terengganu,Sungai Hiliran,5.5,2009,IV
Kelantan,Sungai Pengkelan Chepa,10,2009,II
Sabah,Sungai Papar,45,2009,II
Sarawak,Sungai Miri,60,2009,III
Sarawak,Sungai Bintangor,0.63,2009,-
Perlis,Sungai Perlis,9.5,2010,III
Kedah,Sungai Petani,12,2010,III
Pulau Pinang,Sungai Pinang,3.1,2010,III
Perak,Sungai Kinta,20,2010,II
Selangor,Sungai Penchala,12,2010,III
Kuala Lumpur,Sungai Penchala,12,2010,III
Negeri Sembilan,Sungai Temiang,9,2010,III
Melaka,Sungai Melaka,39,2010,III
Johor,Sungai Skudai,52.8,2010,III
Pahang,Sungai Galing,7,2010,III
Terengganu,Sungai Hiliran,5.5,2010,III
Kelantan,Sungai Pengkelan Chepa,10,2010,II
Sabah,Sungai Papar,45,2010,II
Sarawak,Sungai Miri,60,2010,III
Sarawak,Sungai Bintangor,0.63,2010,III
Perlis,Sungai Perlis,9.5,2011,III
Kedah,Sungai Petani,12,2011,III
Pulau Pinang,Sungai Pinang,3.1,2011,III
Perak,Sungai Kinta,20,2011,II
Selangor,Sungai Penchala,12,2011,III
Kuala Lumpur,Sungai Penchala,12,2011,IV
Negeri Sembilan,Sungai Temiang,9,2011,III
Melaka,Sungai Melaka,39,2011,II
Johor,Sungai Skudai,52.8,2011,III
Pahang,Sungai Galing,7,2011,III
Terengganu,Sungai Hiliran,5.5,2011,IV
Kelantan,Sungai Pengkelan Chepa,10,2011,III
Sabah,Sungai Papar,45,2011,II
Sarawak,Sungai Miri,60,2011,III
Sarawak,Sungai Bintangor,0.63,2011,III
Perlis,Sungai Perlis,9.5,2012,III
Kedah,Sungai Petani,12,2012,III
Pulau Pinang,Sungai Pinang,3.1,2012,III
Perak,Sungai Kinta,20,2012,II
Selangor,Sungai Penchala,12,2012,III
Kuala Lumpur,Sungai Penchala,12,2012,IV
Negeri Sembilan,Sungai Temiang,9,2012,III
Melaka,Sungai Melaka,39,2012,II
Johor,Sungai Skudai,52.8,2012,III
Pahang,Sungai Galing,7,2012,III
Terengganu,Sungai Hiliran,5.5,2012,III
Kelantan,Sungai Pengkelan Chepa,10,2012,III
Sabah,Sungai Papar,45,2012,II
Sarawak,Sungai Miri,60,2012,III
Sarawak,Sungai Bintangor,0.63,2012,III
Perlis,Sungai Perlis,9.5,2013,III
Kedah,Sungai Petani,12,2013,III
Pulau Pinang,Sungai Pinang,3.1,2013,III
Perak,Sungai Kinta,20,2013,II
Selangor,Sungai Penchala,12,2013,III
Kuala Lumpur,Sungai Penchala,12,2013,III
