State,River,Causes of Pollution
Kedah,Sungai Korok,"Factories, Agriculture"
Kedah,Sungai Petani,Factories
Pulau Pinang,Sungai Dondang,"Rubber Factory, Sewage, Workshop"
Pulau Pinang,Sungai Jelutong,"Sewage, Factories, Workshop, Food Court"
Pulau Pinang,Sungai Ara,"Factories, Residential Waste"
Pulau Pinang,Sungai Rambai,"Pig Farm, City Waste"
Pulau Pinang,Sungai Kereh,Pig Farm
Pulau Pinang,Sungai Seluang,Factories
Pulau Pinang,Sungai Cempedak,Factories
Pulau Pinang,Sungai Jawi,"City Waste, Pig Farm, Factories"
Pulau Pinang,Sungai Tengah,Factories
Perak,Sungai Seluang,"Agriculture, Sewage"
Perak,Sungai Lidin,"City Waste, Factories, Workshop"
Selangor,Sungai Labu,Factories
Selangor,Sungai Langat,"Agriculture, Animal Farm"
Selangor,Sungai Kundang,Disposal Site
Selangor,Sungai Buloh,"Factories, Agriculture, Animal Farm, Sewage"
Kuala Lumpur,Sungai Bunus,City Waste
Selangor,Sungai Damansara,"Sewage, Factories"
Kuala Lumpur,Sungai Jinjang,"Sewage, Residential Waste"
Kuala Lumpur,Sungai Kerayong,Factories
Kuala Lumpur,Sungai Keroh,City Waste
Kuala Lumpur,Sungai Penchala,Factories
Melaka,Sungai Baru,Pig Farm
Melaka,Sungai Ayer Salak,"Factories, Sewage"
Selangor,Sungai Gombak,Factories
Johor,Sungai Merlimau,"Factories, Agriculture, Sewage"
Negeri Sembilan,Sungai Kelamah,Factories
Johor,Sungai Sarang Buaya,"Plantation, City Waste"
Johor,Sungai Simpang Kanan,"Factories, City Waste"
Johor,Sungai Pontian,Factories
Johor,Sungai Lenga,Factories
Johor,Sungai Serai,Factories
Johor,Sungai Ayer Baloi,"Plantation, Animal Farm, City Waste"
Johor,Sungai Segget,City Waste
Johor,Sungai Bala,"Factories, City Waste"
Johor,Sungai Plentong,"Sewage, Factories"
Johor,Sungai Sebulung,"Sewage, Factories"
Johor,Sungai Sengkuang,"Sewage, Factories"
Johor,Sungai Tampoi,"Sewage, Factories"
Johor,Sungai Danga,City Waste
Johor,Sungai Lebam,Factories
Johor,Sungai Latoh,Factories
Johor,Sungai Masai,"Sewage, Disposal Site"
Johor,Sungai Kempas,"Sewage, Factories"
Pahang,Sungai Kepayang,Factories
Sarawak,Sungai Adong,Factories
Sabah,Sungai Kalumpang,Factories
