State,River_Basin,River,Count,WQI_2015,Category_2015,Class_2015,WQ1_2016,Category_2016,Class_2016,WQI_2017,Category_2017,Class_2017
Perlis,Sungai Perlis,Sungai Wang Kelian,1,89,Clean,II,89,Clean,II,89,Clean,II
Perlis,Sungai Perlis,Sungai Pelarit,1,93,Clean,I,88,Clean,II,81,Clean,II
Perlis,Sungai Perlis,Sungai Jarum,1,74,Slightly Polluted,III,82,Clean,II,89,Clean,II
Perlis,Sungai Perlis,Sungai Bukit Jernih,1,85,Clean,II,82,Clean,II,82,Clean,II
Kedah,Sungai Kisap,Sungai Kisap,1,93,Clean,I,90,Clean,II,91,Clean,II
Kedah,Sungai Kisap,Sungai Petang,1,93,Clean,I,91,Clean,II,92,Clean,II
Kedah,Sungai Kedah,Sungai Janing,1,93,Clean,I,91,Clean,II,91,Clean,II
Kedah,Sungai Kedah,Sungai Pedu,1,86,Clean,II,88,Clean,II,88,Clean,II
Kedah,Sungai Kedah,Sungai Padang Terap,3,84,Clean,II,84,Clean,II,84,Clean,II
Kedah,Sungai Merbok,Sungai Tupah,1,93,Clean,I,91,Clean,II,91,Clean,II
Kedah,Sungai Merbok,Sungai Tok Pawang,1,85,Clean,II,88,Clean,II,80,Slightly Polluted,II
Kedah,Sungai Muda,Sungai Chepir,1,85,Clean,II,89,Clean,II,86,Clean,II
Kedah,Sungai Muda,Sungai Ketil,2,81,Clean,II,85,Clean,II,83,Clean,II
Kedah,Sungai Muda,Sungai Karangan,1,88,Clean,II,84,Clean,II,81,Clean,II
Kedah,Sungai Muda,Sungai Muda,4,85,Clean,II,84,Clean,II,81,Clean,II
Kedah,Sungai Muda,Sungai Sedim,1,85,Clean,II,78,Slightly Polluted,II,78,Slightly Polluted,II
Kedah,Sungai Muda,Sungai Pegang,1,92,Clean,II,76,Slightly Polluted,III,76,Slightly Polluted,III
Pulau Pinang,Sungai Jawi,Sungai Junjong,1,90,Clean,II,90,Clean,II,70,Slightly Polluted,III
Pulau Pinang,Sungai Pinang,Sungai Air Terjun,1,87,Clean,II,89,Clean,II,92,Clean,II
Pulau Pinang,Sungai Kluang,Sungai Ara,2,87,Clean,II,84,Clean,II,80,Slightly Polluted,II
Pulau Pinang,Sungai Kerian,Sungai Kechil,1,90,Clean,II,86,Clean,II,84,Clean,II
Kedah,Sungai Kerian,Sungai Kerian,4,84,Clean,II,81,Clean,II,81,Clean,II
Perak,Sungai Beruas,Sungai Rotan,1,92,Clean,II,89,Clean,II,87,Clean,II
Perak,Sungai Beruas,Sungai Dandang,1,88,Clean,II,87,Clean,II,88,Clean,II
Perak,Sungai Beruas,Sungai Beruas,3,85,Clean,II,82,Clean,II,83,Clean,II
Perak,Sungai Kurau,Sungai Ara,2,92,Clean,II,89,Clean,II,88,Clean,II
Perak,Sungai Perak,Sungai Chepor,1,91,Clean,II,90,Clean,II,90,Clean,II
Perak,Sungai Perak,Sungai Kinjang,1,88,Clean,II,90,Clean,II,92,Clean,II
Perak,Sungai Perak,Sungai Chenderiang,1,81,Clean,II,87,Clean,II,87,Clean,II
Perak,Sungai Perak,Sungai Kuang,1,84,Clean,II,79,Slightly Polluted,II,83,Clean,II
Perak,Sungai Perak,Sungai Klah,1,88,Clean,II,86,Clean,II,89,Clean,II
Perak,Sungai Perak,Sungai Sungkai,2,86,Clean,II,86,Clean,II,85,Clean,II
Perak,Sungai Perak,Sungai Bidor,3,83,Clean,II,85,Clean,II,82,Clean,II
Perak,Sungai Perak,Sungai Kampar,2,88,Clean,II,85,Clean,II,86,Clean,II
Perak,Sungai Perak,Sungai Batang Padang,3,84,Clean,II,82,Clean,II,82,Clean,II
Perak,Sungai Perak,Sungai Kangsar,1,82,Clean,II,73,Slightly Polluted,III,81,Clean,II
Perak,Sungai Perak,Sungai Perak,8,84,Clean,II,82,Clean,II,85,Clean,II
Perak,Sungai Perak,Sungai Raya,2,88,Clean,II,81,Clean,II,81,Clean,II
Perak,Sungai Raja Hitam,Sungai Nyior,1,90,Clean,II,92,Clean,II,93,Clean,I
Perak,Sungai Sepetang,Sungai Jana,1,93,Clean,I,93,Clean,I,84,Clean,II
Perak,Sungai Sepetang,Sungai Sepetang,1,90,Clean,II,87,Clean,II,86,Clean,II
Perak,Sungai Sepetang,Sungai Temerloh,2,89,Clean,II,87,Clean,II,89,Clean,II
Perak,Sungai Sepetang,Sungai Air Putih,1,92,Clean,II,86,Clean,II,89,Clean,II
Perak,Sungai Sepetang,Sungai Larut,3,87,Clean,II,85,Clean,II,83,Clean,II
Perak,Sungai Bernam,Sungai Inki,1,90,Clean,II,90,Clean,II,91,Clean,II
Perak,Sungai Bernam,Sungai Trolak,1,89,Clean,II,88,Clean,II,88,Clean,II
Perak,Sungai Bernam,Sungai Slim,2,87,Clean,II,86,Clean,II,85,Clean,II
Perak,Sungai Bernam,Sungai Bernam,4,86,Clean,II,84,Clean,II,82,Clean,II
Selangor,Sungai Selangor,Sungai Kerling,1,88,Clean,II,89,Clean,II,86,Clean,II
Selangor,Sungai Selangor,Sungai Kanching,1,90,Clean,II,88,Clean,II,85,Clean,II
Selangor,Sungai Selangor,Sungai Serendah,1,88,Clean,II,87,Clean,II,86,Clean,II
