State,Parent,Child,WQI_2015,WQI_2016,WQI_2017,WQI_AVE
Perlis,NA,Perlis,NA,NA,NA,NA
Kedah,NA,Kedah,NA,NA,NA,NA
Pulau Pinang,NA,Pulau Pinang,NA,NA,NA,NA
Perak,NA,Perak,NA,NA,NA,NA
Selangor,NA,Selangor,NA,NA,NA,NA
Negeri Sembilan,NA,Negeri Sembilan,NA,NA,NA,NA
Melaka,NA,Melaka,NA,NA,NA,NA
Johor,NA,Johor,NA,NA,NA,NA
Pahang,NA,Pahang,NA,NA,NA,NA
Terengganu,NA,Terengganu,NA,NA,NA,NA
Kelantan,NA,Kelantan,NA,NA,NA,NA
Sabah,NA,Sabah,NA,NA,NA,NA
Sarawak,NA,Sarawak,NA,NA,NA,NA
Kuala Lumpur,NA,Kuala Lumpur,NA,NA,NA,NA
Sungai Air Baloi,Johor,Johor,Slightly Polluted,Polluted,Slightly Polluted,Polluted
Sungai Anak Endau,Pahang,Pahang,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Apas,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Balingian,Sarawak,Sarawak,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Baluk,Pahang,Pahang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Balung,Sabah,Sabah,Slightly Polluted,Clean,Clean,Clean
Sungai Baram,Sarawak,Sarawak,Clean,Clean,Clean,Clean
Sungai Baram,Sarawak,Sarawak,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Batu Pahat,Johor,Johor,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Bayan Lepas,Pulau Pinang,Pulau Pinang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Bebar,Pahang,Pahang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Bengkoka,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Benut,Johor,Johor,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Bernam,Perak,Perak,Clean,Clean,Clean,Clean
Sungai Bertam,Pahang,Pahang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Beruas,Perak,Perak,Clean,Clean,Clean,Clean
Sungai Besut,Terengganu,Terengganu,Clean,Clean,Clean,Clean
Sungai Bingkongan,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Bongawan,Sabah,Sabah,Slightly Polluted,Slightly Polluted,Clean,Slightly Polluted
Sungai Brantian,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Buloh,Selangor,Selangor,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Sungai Cherating,Pahang,Pahang,Slightly Polluted,Clean,Clean,Clean
Sungai Chukai,Terengganu,Terengganu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Danga,Johor,Johor,Polluted,Polluted,Polluted,Polluted
Sungai Dungun,Terengganu,Terengganu,Clean,Clean,Clean,Clean
Sungai Duyong,Melaka,Melaka,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Endau,Johor,Johor,Clean,Clean,Clean,Clean
Sungai Endau,Pahang,Pahang,Clean,Clean,Clean,Clean
Sungai Golok,Kelantan,Kelantan,Clean,Clean,Clean,Clean
Sungai Ibai,Terengganu,Terengganu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Jawi,Pulau Pinang,Pulau Pinang,Polluted,Polluted,Polluted,Polluted
Sungai Jemaluang,Johor,Johor,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Johor,Johor,Johor,Slightly Polluted,Clean,Clean,Clean
Sungai Juru,Pulau Pinang,Pulau Pinang,Slightly Polluted,Polluted,Polluted,Polluted
Sungai Kalabakan,Sabah,Sabah,Slightly Polluted,Slightly Polluted,Clean,Slightly Polluted
Sungai Kalumpang,Sabah,Sabah,Slightly Polluted,Clean,Slightly Polluted,Slightly Polluted
Sungai Kayan,Sarawak,Sarawak,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Kedah,Kedah,Kedah,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kedamaian,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Kelantan,Kelantan,Kelantan,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Kelantan,Kelantan,Kelantan,Clean,Clean,Clean,Clean
Sungai Kemaman,Terengganu,Terengganu,Clean,Clean,Clean,Clean
Sungai Kemasin,Kelantan,Kelantan,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kemena,Sarawak,Sarawak,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kempas,Johor,Johor,Polluted,Polluted,Polluted,Polluted
Sungai Kerian,Pulau Pinang,Pulau Pinang,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Kerian,Pulau Pinang,Pulau Pinang,Clean,Clean,Clean,Clean
Sungai Kerian,Kedah,Kedah,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Kerian,Kedah,Kedah,Clean,Clean,Clean,Clean
Sungai Kerian,Sarawak,Sarawak,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Kerian,Sarawak,Sarawak,Clean,Clean,Clean,Clean
Sungai Kertih,Terengganu,Terengganu,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kesang,Melaka,Melaka,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kim-Kim,Johor,Johor,Slightly Polluted,Polluted,Polluted,Slightly Polluted
Sungai Kimanis,Sabah,Sabah,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kinabatangan,Sabah,Sabah,Slightly Polluted,Clean,Clean,Clean
Sungai Kisap,Kedah,Kedah,Clean,Clean,Clean,Clean
Sungai Klang,Kuala Lumpur,Kuala Lumpur,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Sungai Klang,Selangor,Selangor,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Sungai Kluang,Pulau Pinang,Pulau Pinang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kluang,Terengganu,Terengganu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Kuantan,Pahang,Pahang,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Kurau,Perak,Perak,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Labuk,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Lakutan,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Langat,Negeri Sembilan,Negeri Sembilan,Clean,Clean,Clean,Clean
Sungai Langat,Negeri Sembilan,Negeri Sembilan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Langat,Selangor,Selangor,Clean,Clean,Clean,Clean
Sungai Langat,Selangor,Selangor,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Lawas,Sarawak,Sarawak,Clean,Clean,Clean,Clean
Sungai Layar,Sarawak,Sarawak,Clean,Slightly Polluted,Slightly Polluted,Clean
Sungai Layar,Sarawak,Sarawak,Clean,Clean,Clean,Clean
Sungai Likas,Sabah,Sabah,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Limbang,Sarawak,Sarawak,Slightly Polluted,Clean,Clean,Clean
Sungai Linggi,Melaka,Melaka,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Linggi,Negeri Sembilan,Negeri Sembilan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Lingkungan,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Lupar,Sarawak,Sarawak,Clean,Clean,Slightly Polluted,Clean
Sungai Marang,Terengganu,Terengganu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Melaka,Negeri Sembilan,Negeri Sembilan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Melaka,Melaka,Melaka,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Membakut,Sabah,Sabah,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Menggalong,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Merang,Terengganu,Terengganu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Merbok,Kedah,Kedah,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Merchang,Terengganu,Terengganu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sungai Merchong,Pahang,Pahang,Clean,Clean,Slightly Polluted,Slightly Polluted
Sungai Merlimau,Melaka,Melaka,Slightly Polluted,Polluted,Polluted,Polluted
Sungai Merotai,Sabah,Sabah,Clean,Clean,Clean,Clean
Sungai Mersing,Johor,Johor,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
